Statements,Labels
"Kenya and Mozambique will lock horns in the 3rd T20I of ICC Men’s T20 World Cup Africa Sub-regional Qualifier B 2024 on Saturday, 19 October 2024, at Ruaraka Sports Club Ground, Nairobi.",Non Record
Glenn Maxwell equalled the record for the most T20 international centuries with his fifth hundred.,Record
"India's team combination, particularly in the batting order, was a major interest",Non Record
David Warner needs 54 runs to become the all-time leading run scorer for Australia in men’s T20Is.,Record
Brandon McMullen was out to a fine running catch by Tim David for 59 off 42 balls.,Non Record
Ion Nicolaescu scored a penalty after being upended by Bonello.,Non Record
Namibia have beaten Scotland in each of their three previous T20Is.,Non Record
It is the lowest target Bangladesh have failed to chase in a T20.,Record
Shohei Ohtani is close to achieving the 60-60 club with 53 home runs and 55 stolen bases.,Record
David Peterson struck out Joey Ortiz and induced a game-ending double play from Brice Turang.,Non Record
"The pitch at SCG is balanced, offering assistance to both batsmen and bowlers.",Non Record
"Sanju Samson, Suryakumar Yadav, and Hardik Pandya all contributed significantly to the chase.",Non Record
"Shohei Ohtani was 2 for 4 with a walk, scoring two runs and driving in another.",Non Record
"Pakistan will square off against Bangladesh in the 41st match of the T20 World Cup 2022 on Sunday, November 06 at Adelaide Oval.",Non Record
"Los Angeles reached its 90th loss in its 150th game, the quickest in franchise history.",Record
Historical head-to-head statistics: India has won 7 out of 11 matches against Pakistan.,Non Record
"Win Probabilities: Royals 53%, Guardians 47%.",Non Record
"Using advanced machine learning and data, Stats Insider has simulated Friday's Philadelphia-NY Mets MLB match-up 10,000 times.",Non Record
Salvador Perez has recorded at least one RBI in each of the Royals' last six road games against NL Central opponents.,Record
Rashid Khan appeared to be in immense pain as he walked off the field during the penultimate over of the match,Non Record
Paul Stirling scored his first fifty in 21 T20Is,Record
"The game was held at Yankee Stadium with an attendance of 42,768.",Non Record
The Royals clinched a playoff spot in the American League for the first time since the 2015 season.,Non Record
Ben Stokes scored an unbeaten 52 off 49 balls to guide England to victory.,Non Record
Bangladesh will fight to stay alive in the T20 World Cup 2024 when they take on India in their second Super Eight clash in Antigua.,Non Record
Steven Kwan had another three-hit game.,Non Record
Australia's total of 4-241 was the nation's fourth-highest in a T20I.,Record
Mason Englert will be making his first start of the season for the Tigers after 11 relief appearances.,Non Record
"Guyana have not lost consecutive Nations League encounters since 2019, when they followed up a 4-0 defeat to Jamaica with a 2-1 loss versus Antigua and Barbuda.",Non Record
Atlanta Braves clinched their sixth consecutive NL East title.,Record
Virat Kohli became the highest run-getter in T20 World Cups.,Record
"30 Number of overs, out of 40 bowled by spinners between India and New Zealand in a T20I match - This is the second most overs bowled by spinners in a T20I match after 33-overs bowled by between Cayman Islands and USA at Hamilton in 2019.",Record
"The storm included rain, swirling winds, thunder, lightning, and a rainbow over the left-field scoreboard.",Non Record
Jung Hoo Lee has recorded at least one total base in each of his last nine road appearances against NL opponents.,Record
Marcell Ozuna hit a solo home run in the eighth inning for the Braves.,Non Record
Ronald Acuña Jr. became the first player in MLB history to have at least 40 homers and 70 stolen bases in a single season.,Record
"This was the second highest innings total in T20Is, behind Nepal’s 314 for three against Mongolia.",Record
Toronto set season highs for both runs (15) and hits (23).,Non Record
Freddie Freeman became the first player to homer in the first four games of a World Series and his streak of long balls in six consecutive games is one more than Houston’s George Springer in 2017 and ‘19.,Record
Eldhino M. scored the winning goal at 87 minutes.,Non Record
Chris Jordan took 3 wickets for 37 runs for England.,Non Record
The Twins selected the contract of right-handed pitcher Randy Dobnak ahead of Sunday’s season finale against the Baltimore Orioles.,Non Record
Salvador Perez hit a tying sacrifice fly off Clay Holmes in the seventh inning and started an impressive double play to end the bottom half.,Non Record
Josh Naylor has recorded at least one RBI in four of the Guardians' last five home playoff games against the Yankees.,Record
Betts followed with his two-run double.,Non Record
Jose Ramirez has recorded at least one RBI in each of his last three home appearances against the Astros after playing the previous day.,Record
Spencer Steer has hit a home run in each of the Reds' last two games at Wrigley Field against NL Central opponents that held a winning record.,Record
"Garrett Crochet struck out eight batters, including tying an AL record with seven consecutive strikeouts to start the game.",Record
"Tampa Bay's bullpen allowed its first earned run since Sept. 4, ending a streak of four or fewer earned runs allowed in 11 consecutive games.",Record
"Max Muncy tied the franchise record for most career postseason home runs with his 13th homer, matching Corey Seager and Justin Turner.",Record
Pakistan won the match by 10 wickets.,Non Record
Jose Ramirez has recorded two or more total bases in each of his last five home appearances against the Astros after playing the previous day.,Record
"Bobby Miller's electric fastball, which averaged 98.3 mph in his last start, remains a potent weapon.",Non Record
Pakistan captain Babar Azam has scored 560 runs against England in T20s. No player from either team has scored more.,Record
The match is scheduled for 14 June 2024 at 10.30 AM local time.,Non Record
This will be the second installment in a best-of-five postseason series.,Non Record
Montenegro substitute Andrija Radulovic hit the woodwork.,Non Record
"Edwin Díaz struck out Kody Clemens and Schwarber, and got Brandon Marsh to fly out, securing the win.",Non Record
Liberia were also awarded a 3-0 victory despite losing 1-0 to Equatorial Guinea back in November last year.,Non Record
Captain Mitch Marsh scored 72 off 44 balls.,Non Record
"While they have never beaten Martinique, the Golden Jaguars have avoided defeat in two of their previous three encounters against them, including a come-from-behind 2-2 draw in 2012.",Non Record
"The latest betting odds in Australia for Thursday's MLB game at Guaranteed Rate Field are: White Sox $2.10, Rangers $1.73.",Non Record
"The Mets' celebration included champagne, beer, and cigars, with Pete Alonso being the focal point of the festivities.",Non Record
Nijat Masood took 3 wickets for Afghanistan.,Non Record
Ireland captain Paul Stirling expressed pride in the team's fight despite not starting well and facing pressure from Pakistan.,Non Record
Giancarlo Stanton has recorded at least one RBI in each of his last five appearances at Yankee Stadium against opponents that held a losing record.,Record
Yankees relievers struggled in high-leverage situations but managed to secure the win.,Non Record
Analysts predict a favorable outcome for the Philadelphia Phillies against the Miami Marlins.,Non Record
"The Yankees won 50 games away from home in the regular season, their most in 21 years.",Record
Shohei Ohtani recorded his 50th stolen base of the season.,Record
"Travis Head equalled Marcus Stoinis' Australian record for the fastest T20I 50, reaching it off his 17th ball.",Record
Biggest margin of defeat in terms of runs for Australia in T20Is. It is also the second biggest defeat for a full-time ICC member in T20 World Cups after England's 90-run defeat to India in 2012.,Record
Willy Adames has recorded at least one hit in each of the Brewers’ last 11 games.,Record
Alex Bregman acknowledged that the team got outplayed and emphasized learning from their mistakes to be ready to compete again.,Non Record
"Nick Castellanos homered in his first at bat, drew a two-out walk and scored the winning run in his penultimate plate appearance, made a lunging catch in right field to prevent the tying run from reaching base in the top of the eighth, and was plunked again in the bottom of the eighth.",Non Record
Adam Milne was smashed for 19 runs in the penultimate over.,Non Record
"Jarren Duran is the first player since at least 1901 to record 40 doubles, 10 triples, 20 home runs, and 30 stolen bases in a season.",Record
India defeated Bangladesh by seven wickets in the opening T20I at the Madhavrao Scindia Cricket Stadium.,Non Record
"The match ended in a 0-0 draw, reflecting both teams' recent struggles in front of goal.",Non Record
"Juan Soto hit a 402-foot home run in the sixth inning, giving the Yankees a 2-1 lead.",Non Record
Chicago has had a miserable 2024 season and is on track to break the New York Mets' record for most losses in a single season (120 in 1962).,Record
Venkatesh Iyer dismissed Janith Liyanage,Non Record
Shakib Al Hasan emphasized the importance of his innings and praised Rishad Hossain for his bowling performance.,Non Record
Jack Flaherty's eight earned runs matched a postseason record accomplished by 15 other pitchers in history.,Record
"Per Weather.com, there is an 80 percent chance of rain with total accumulations of around half an inch in Cleveland on Saturday night.",Non Record
"Should the Dodgers win two of three against San Diego, they will clinch the NL West title.",Non Record
Adil Rashid took 2 wickets for 27 runs.,Non Record
Framber Valdez agreed with the decision to be pulled from the game.,Non Record
Pakistan will play against Australia in the semi-finals on 11 November 2021.,Non Record
Rohit Sharma and Rinku Singh's unbeaten partnership of 190 runs is the highest T20I partnership for any wicket for India.,Record
"The White Sox avoided setting a new record for the highest total defeats in the Modern Era, remaining tied with the 1962 Mets at 120 losses.",Record
The Phillies are 14-4 in their last 18 games and have reached 30 games over .500 for the first time all season.,Record
England are the first defending champions to reach a men's T20 World Cup semi-final in a decade.,Record
Navneet Dhaliwal scored 61 runs for Canada.,Non Record
Lars Nootbaar has recorded at least one hit in each of the Cardinals' last nine games as underdogs.,Record
"India (probable): 1 Rohit Sharma (capt), 2 Virat Kohli, 3 Suryakumar Yadav, 4 Shivam Dube, 5 Rishabh Pant (wk), 6 Hardik Pandya, 7 Ravindra Jadeja, 8 Kuldeep Yadav, 9 Arshdeep Singh, 10 Jasprit Bumrah, 11 Mohammed Siraj.",Non Record
Bryce Harper expressed optimism that the future is still bright for the Phillies despite the loss.,Non Record
Hardik Pandya scored 63 off 33 balls for India.,Non Record
The Cincinnati Reds are calling up 2023 1st round and 7th overall draft pick Rhett Lowder to pitch on Friday night against the Milwaukee Brewers.,Non Record
Vinnie Pasquantino has recorded at least one total base in each of his last 13 road appearances against opponents that held a losing record.,Record
"Nick Allen's bunt allowed Daz Cameron to score, contributing to the Athletics' lead.",Non Record
"Over on the Red Sox’ side, they were swept by the Arizona Diamondbacks in their weekend series with losses 12-2, 4-1 and 7-5.",Non Record
England become the first men's team to hold the 20-over and 50-over titles at the same time,Record
Freddie Freeman became the first player to hit a home run in each of the first four games of a single World Series.,Record
Tabraiz Shamsi took 3 wickets for 27 runs.,Non Record
Blake Treinen pitched 42 pitches starting from the sixth inning to help secure the win.,Non Record
Shohei Ohtani hit a double and scored on a sacrifice fly by Mookie Betts.,Non Record
"West Indies also get a fairly easier start to the tournament with games against the lower-ranked teams in the group, PNG and Uganda.",Non Record
David Fry hit a walk-off homer in the 10th to win Game 3.,Non Record
Dave Roberts commented on the energy and buzz in the dugout during the first inning.,Non Record
Aaron Judge hit a two-run drive into Monument Park for his first home run of this postseason.,Non Record
"India will be playing against Ireland in Match 8 of the ICC Men's T20 World Cup, 2024, at the Nassau County International Cricket Stadium, New York, on June 5 at 08:00 PM IST.",Non Record
"Evan Longoria highlighted the significance of Thomas' home run, suggesting it could be a pivotal moment if the team wins the trophy.",Non Record
Francisco Alvarez hit a clutch two-run double in the seventh inning.,Non Record
"Anthony Volpe delivered the ninth World Series grand slam in Yankees history, setting a record for a single playoffs with six grand slams MLB-wide.",Record
"Blake Perkins of the Brewers made a homer-preventing catch in the fifth inning, his fourth of the season.",Non Record
"Afghanistan aims to improve their batting skills, according to Ibrahim Zadran.",Non Record
Anrich Nortje and Kagiso Rabada struck twice for South Africa.,Non Record
The White Sox have lost each of their last 10 games.,Non Record
The game was notable for the shift in crowd emotion from boos to quiet murmurs after Garcia's grand slam.,Non Record
Yamamoto and Darvish were the first Japanese-born starting pitchers to square off in major league playoff history.,Record
The MLB-worst White Sox are nine losses away from tying the 1962 New York Mets for the most losses since 1900.,Record
Kiké Hernández emphasized Yamamoto's greatness and the reason for the Dodgers' investment in him.,Non Record
Ion Nicolaescu scored a penalty in the 45+4th minute.,Non Record
"Edwin Díaz emphasized the importance of his role, saying, 'This team needs me. So I've got to be ready every single day. I've got to do my job always. Today was a good one, but I just have to keep it going now.'",Non Record
"The Twins allowed 23 hits, their most in a game since 2011.",Record
"Pakistan named three debutants for the first T20I match including Muhammad Irfan Khan, Usman Khan, and Abrar Ahmed.",Non Record
Lane Thomas hit an RBI double for the Guardians.,Non Record
The Minnesota Twins host the Cincinnati Reds to open a three-game series.,Non Record
Chris Jordan becomes the first English player to take a hat-trick at a T20 World Cup.,Record
Six of the Blue Jays' last seven night games against NL East opponents have gone OVER the total runs line.,Non Record
José Ramírez's homer in the final frame before the series shifts back to Cleveland is critical to any potential comeback for the Guardians.,Non Record
Bobby Witt Jr. had a base hit in the sixth inning.,Non Record
The match was played at the Melbourne Cricket Ground (MCG).,Non Record
Rahmanullah Gurbaz and Ibrahim Zadran's opening partnership of 154 was the second highest in men’s T20 World Cup history.,Record
"At 22 years, 102 days, Jordan Walker became the third-youngest Cardinal to get five hits in a game.",Record
Adolis García hit a solo home run in the eighth inning.,Non Record
Canada registered its first-ever T20 World Cup win.,Record
"The Braves are favored in this one, at -281, while the underdog Blue Jays have +229 odds to play spoiler.",Non Record
Corey Seager won his second World Series MVP award.,Record
"With the win, the D-backs are tied with the Mets for the second NL Wild Card spot and have a one-game lead over the Braves.",Non Record
WICKET! Shayan Jahangir lbw b Shamsi 3 (USA 76-5),Non Record
Kyle Schwarber hit a tying sacrifice fly in the third inning for his 93rd RBI of the season.,Non Record
Sean Manaea took a two-hit shutout into the eighth inning.,Non Record
"Malta has failed to reach this objective in both editions held in 2020 and 2022, settling for second place in the group behind the Faroe Islands and Estonia.",Non Record
The dimensions played a major role at Kensington Oval with one square boundary measured at just 58m.,Non Record
South Africa posted the highest score in Antigua with 194,Record
Babar Azam was dismissed by Adil Rashid.,Non Record
"Parker Meadows tied Tigers legend Charlie Gehringer with a seven-game hit streak to start his postseason career, the longest in team history.",Record
"In their last 50-over World Cup clash, India fell short against Australia, adding an extra layer of tension to this upcoming match.",Non Record
Paul Skenes became just the second player since 1913 to post a sub-2.00 ERA through 22 career appearances.,Record
The Rockies need to win two out of three games against the Los Angeles Dodgers to avoid their second 100-loss season,Record
The matchup Friday is the fifth time these teams square off this season. The season series is tied 2-2.,Non Record
Bobby Witt Jr. became the second player in MLB history to record game-winning RBIs in each of his first two playoff games.,Record
Seiya Suzuki has recorded at least one Single in 10 of his last 11 appearances against opponents that held a losing record.,Record
"The D-backs have Thursday off before starting a three-game series with the Padres, who are ahead of them in the Wild Card race.",Non Record
Phillies manager Rob Thomson emphasized the importance of having their ace on the mound for Game 5.,Non Record
Mauricio Dubón has reached 200 runs in his career.,Record
"Zimbabwe had lost 15 T20Is in a row against Pakistan, but won two out of their last three encounters",Non Record
"The spin bowlers were the prime wicket-takers at the Arnos Vale Ground in Kingstown, with an average first innings score of 144.",Non Record
"Gurbaz (167) and Farooqi (12) are currently the highest scorer and the highest wicket-taker, respectively, in the T20 World Cup 2024",Record
"Aaron Civale reflected on his performance, noting a desire to adjust quicker next time.",Non Record
"The match was held at Daren Sammy National Cricket Stadium, Gros Islet.",Non Record
"India now have 9 whitewash series wins in T20I cricket, the most by any country.",Record
Shohei Ohtani's single off Adrian Morejon in the sixth inning proved decisive.,Non Record
Jose Ramirez ranks T6th in the league in Steals (32) this season.,Non Record
"The Cubs are 1.5-run underdogs against the Yankees, with odds of $1.67 available at TAB.",Non Record
Freddie Freeman hit the first walk-off grand slam in World Series history to win Game 1.,Record
"The pitches at the Pallekele International Cricket Stadium in Pallekele have been very good for batting in the first two T20I matches of the series, allowing the batters to score runs at a quicker pace.",Non Record
The A's won 4-3 over the Astros in 12 innings at Minute Maid Park.,Non Record
"The fast bowlers for India were exceptional with the ball with the likes of Arshdeep Singh, Hardik Pandya, Jasprit Bumrah, and Mohammed Siraj sharing the bulk of the wickets amongst themselves.",Non Record
New Zealand had two wins and a washout in their three matches before this game.,Non Record
"Chicago is on pace to lose 124 games, potentially surpassing the 1962 Mets for most losses in a single MLB season.",Record
Reds manager David Bell noted that Skenes' changeup was a difference maker in the game.,Non Record
"Shohei Ohtani hit another home run and collected two stolen bases, inching closer to the 60-60 club with 53 home runs and 55 stolen bases.",Record
New Zealand crushed Australia by 89 runs.,Non Record
The article noted India's continued struggle in ICC events.,Non Record
Carlos Correa has recorded at least one total base in each of his last eight appearances in night games.,Record
"The Chicago White Sox scored seven runs in the fifth inning, their best inning of the entire season, to cap off a sweep of the Los Angeles Angels.",Record
"Aaron Nola reflected on the home run by Rhys Hoskins, acknowledging Hoskins' ability to hit curveballs and his history of good at-bats.",Non Record
Our White Sox vs Guardians predictions are based on detailed simulations and wagering experience to help you place more informed bets with your chosen online bookie.,Non Record
Ceddanne Rafaela has reached 75 runs batted in in his career.,Record
Shohei Ohtani became Major League Baseball's first member of the 50-50 club.,Record
"The Giants played their fourth straight one-run game, going 2-2 during that stretch.",Non Record
Cleveland took control of the division in mid-April and has had sole possession of first place for all but one day the past five months.,Non Record
Jose Quintana highlighted the difficulty of winning and the need for the team to win a ballgame.,Non Record
The match was played in New York as part of the ICC Men's T20 World Cup.,Non Record
The game was played on a perfect Saturday night for baseball.,Non Record
Lockie Ferguson needs one wicket to become the second-fastest Kiwi bowler to reach 50 T20I wickets.,Record
David Miller hit consecutive boundaries off Bhuvneshwar Kumar to clinch the win.,Non Record
The Dodgers achieved their largest shutout victory margin in postseason history with a 9-0 win in the NLCS opener.,Record
"Lungi Ngidi took four wickets, running through the Indian top-order.",Non Record
O. Pineda scored in the 5th minute,Non Record
Adolis Garcia's home run streak is tied for fourth-longest in postseason history.,Record
Tanner Bibee delivered the longest outing by a Cleveland starter this postseason on short rest.,Record
"Afghanistan, however, has thus far had a perfect campaign.",Non Record
"The match was played at JSCA International Stadium Complex, Ranchi",Non Record
Morocco is the highest-ranked African team participating in the tournament.,Record
"Paul Skenes recorded his 16th game with seven or more strikeouts, surpassing Larry McWilliams (1983) for seventh-most by a Pirates starter in a season.",Record
Gerrit Cole allowed 7 earned runs in 4.1 innings.,Non Record
Ohtani is the first player in major-league history to slug three home runs and steal two bases in a game.,Record
Ross mentioned the team's resilience and their ability to bounce back from challenges throughout the season.,Non Record
"Spencer Horwitz hit a two-run home run in the top of the first inning, giving the Blue Jays an early lead.",Non Record
Corey Seager has reached 200 home runs in his career.,Record
"Finn Allen posted the highest score by a Kiwi in men's T20I internationals with 137 runs, surpassing Brendon McCullum's 123.",Record
Ha-Seong Kim is expected to decline his end of a mutual option.,Non Record
M. Boyd pitched 4.1 innings with 9 strikeouts.,Non Record
USA won the toss and chose to field.,Non Record
The Aussies are fourth in the table with a net run rate of -1.555.,Record
"The Dodgers had a 33-inning scoreless streak in the NLCS, a postseason record.",Record
Tapsoba scored an own goal in the 3rd minute.,Non Record
Steven Kwan became the first Cleveland player and third in MLB history to collect three hits or more in three straight postseason games.,Record
Gunnar Henderson hit his 34th home run.,Non Record
"As the match progresses, batting becomes increasingly demanding, offering bowlers substantial assistance throughout the game.",Non Record
USA bowler Saurabh Netravalkar restricted Pakistan to 13 for one in the Super Over.,Non Record
Michael Wacha has recorded five or more strikeouts in five of his last six road appearances against opponents that held a losing record.,Record
Yoan Moncada has recorded two or more total bases in seven of his last eight appearances in day games against AL Central teams that held a winning record.,Record
Namibia played to a one all draw against Lesotho in a preparatory match on Saturday.,Non Record
Glenn Phillips became the first batter to score a century in World Cups while coming in to bat in the middle order.,Record
The USA’s next match is against India at the Nassau County Cricket Stadium on Long Island.,Non Record
Skenes is the first pitcher in the Modern Era with 150 strikeouts and an ERA under 2.00 in his first 22 career games.,Record
"Catcher Austin Hedges expressed confidence despite the Guardians' backs being against the wall, emphasizing the team's belief in each other.",Non Record
It was a predictable Group B outcome as 114 places separate top-ranked African team Morocco from the Central African Republic.,Non Record
Liam Livingstone's innings of 33 off 17 balls in a losing cause against South Africa was highlighted.,Non Record
Tommy Edman broke the streak with an infield single in the ninth inning,Non Record
The White Sox are tied with the Mets for most games lost in a season in the modern era at 120.,Record
"Abhishek Sharma became the fastest Indian to score a T20I century in terms of innings, achieving the milestone in only his second international match.",Record
Pakistan are playing their first match in the ongoing edition.,Non Record
"The Kensington Oval pitch has been one of the few high-scoring surfaces in the Caribbean during this tournament, but has offered ample support to both pace and spin bowlers.",Non Record
Kyle Hendricks has a 3-10 record with a 6.33 ERA and a 1.45 WHIP.,Non Record
"Muncy believes the Game 2 performance was not indicative of the team's talent, emphasizing their ability to come back from games.",Non Record
Paul Goldschmidt has recorded at least one RBI in each of the Cardinals’ last four night games against opponents that held a winning record.,Record
Zimbabwe's new boss has 10 players in his squad that have either previously played or currently apply their trade in the South African PSL.,Non Record
"They won three matches back to back against Netherlands, South Africa and Bangladesh to qualify for the semi-final.",Non Record
Montenegro lost 2-0 to Iceland in their previous match.,Non Record
India won the match by two runs on DLS after rain interrupted play.,Non Record
Jose Ramirez has hit a home run in three of the Guardians' last five night games against opponents that held a winning record.,Record
Josh Bell said it felt like a postseason atmosphere.,Non Record
Rahmanullah Gurbaz scored 17-ball 30,Non Record
"Meanwhile, Zambia who drew 1-1 with DR Congo will fancy their chances against the Taifa Stars as they aim to end a winless run in the Afcon since 2012 when they won the title.",Non Record
The 2 teams will look to salvage some pride after early exit from T20 World Cup.,Non Record
"Oswaldo Cabrera started at first base for the Yankees in Game 1, marking his 18th career game at the position and his first in the playoffs.",Record
"Catcher Jake Rogers mentioned that Mize wanted to be perfect and that his performance, while not his best, was still acceptable.",Non Record
Ryan McMahon discussed the team's goal to avoid a 100-loss season,Non Record
Alec Bohm expressed confidence in the team's ability to avoid similar struggles as last fall in the NLCS.,Non Record
Jacob Stallings’ RBI double in the ninth inning helped the Colorado Rockies beat the Detroit Tigers 4-2.,Non Record
Jose Berrios has recorded a win in five of his last six appearances.,Record
"The T20 World Cup match between England and Australia on October 28, 2022, was canceled due to rain.",Non Record
Sri Lanka executed the highest-ever chase in UAE.,Record
Alex Hales also played a superb knock of 50 runs in 40 deliveries and should be added in the fantasy squad.,Non Record
Washington Sundar took 2 wickets for 22 runs and scored 50 off 28 balls,Non Record
"Shakib Al Hasan executed an incredible run-out to dismiss Sean Williams, who scored 64 off 42 balls.",Non Record
Sri Lanka's 206 was the highest score by any team at Pune in T20Is.,Record
"Canada's campaign has come to an end, but it was a memorable one where they upset Ireland and can look forward to an improved chance of making the 2026 T20 World Cup.",Non Record
Cade Smith struck out four straight batters.,Non Record
Yainer Diaz has recorded at least one Single in eight of his last nine road appearances against AL Central opponents that held a winning record.,Record
"The match was effectively a quarter-final, with the winner advancing to the semi-finals.",Non Record
David Warner joined Ross Taylor and Virat Kohli as the only players to have reached 100 internationals in each format.,Record
The Royals became the first team in MLB history to win a postseason series a year after losing 100 games.,Record
The White Sox set a modern-day major-league record for losses in a season with their 121st defeat.,Record
"India and Afghanistan tied the match, leading to a double Super Over, which India won by 10 runs.",Non Record
India's Shubman Gill walks back to the pavilion after his dismissal,Non Record
"Probable playing XI for India includes Shubman Gill, Yashasvi Jaiswal, Suryakumar Yadav, Tilak Varma, Hardik Pandya, Sanju Samson, Axar Patel, Kuldeep Yadav, Arshdeep Singh, Yuzvendra Chahal, and Mukesh Kumar.",Non Record
India equaled the series by 1-1 after defeating Zimbabwe in the second match.,Non Record
