Statements                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Sport
"Tampa Bay's bullpen allowed its first earned run since Sept. 4, ending a streak of four or fewer earned runs allowed in 11 consecutive games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ", baseball
"Max Muncy tied the franchise record for most career postseason home runs with his 13th homer, matching Corey Seager and Justin Turner.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ", baseball
Jose Ramirez has recorded two or more total bases in each of his last five home appearances against the Astros after playing the previous day.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , baseball
Pakistan captain Babar Azam has scored 560 runs against England in T20s. No player from either team has scored more.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , cricket
Giancarlo Stanton has recorded at least one RBI in each of his last five appearances at Yankee Stadium against opponents that held a losing record.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , baseball
"The Yankees won 50 games away from home in the regular season, their most in 21 years.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ", baseball
Shohei Ohtani recorded his 50th stolen base of the season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , baseball
"Travis Head equalled Marcus Stoinis' Australian record for the fastest T20I 50, reaching it off his 17th ball.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ", cricket
Biggest margin of defeat in terms of runs for Australia in T20Is. It is also the second biggest defeat for a full-time ICC member in T20 World Cups after England's 90-run defeat to India in 2012.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , cricket
Willy Adames has recorded at least one hit in each of the Brewers’ last 11 games.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , baseball
"Jarren Duran is the first player since at least 1901 to record 40 doubles, 10 triples, 20 home runs, and 30 stolen bases in a season.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ", baseball
